chemold mechold 
mengimkomk mechimkomk 
mengimut mekimut 
mengiok mekiok 
mengirocher mechirocher 
mengirt mechirt 
mengisb mechisb 
mengisem mekisem 
mengisemesem mechisemesem 
mengisemsum mechisemsum 
mengisois mechisois
mengit mekit 
mengitakl mechitakl 
mengituuk mechituuk 
mengiuch mechiuch 
mengiuert mechiuert 
mengiuetokl mechiuetokl 
mengkad mekekad 
mengkar mekekar 
mengkas mekekas 
mengkbokb mekboub 
mengmokm mekmokm
mengoes mechoes 
mengoias mekoias
mengoit mechoit 
mengokl mechokl 
mengosm mechosm 
mengsous meksous
mengub mekub 
mengubs mechubs 
menguchet mechuchet 
mengudel mechudel 
menguit mechuit 
menguk mekuk 
menguld mekuld 
menguml mechuml 
menguoku mekuoku 
mengurs mekurs 
mengusem mechusem 
menguum mechuum 
merad merad 
merader mengader 
merael merael 
merebek merebek 
merechorech merechorech 
merekui merekui 
meremech meremech 
meremet meremet 
merenged merenged 
merenguus merenguus 
merers mesers 
meridm meridm 
meriik meriik 
meriim meriim 
meringet meringet 
meririau meririau 
merorem medorem 
merort medort 
merous merous
merrubek mederubek 
merukem merukem 
merumes merumes
merus merus 
merusech merusech 
merutech merutech 
meruu meruu
meruul meruul 
mesakt mesakt 
mesamk mesamk 
mesaod mesaod 
mesarech mesarech 
mesaur mesaur 
mesebechakl mesebechakl 
mesebek mesebek 
mesebel mesebel 
mesechedekl mesechedekl 
mesedem mesedem 
mesibech mesibech 
mesilek mesilek 
mesiou mesiou 
mesiuch mesiuch 
mesmechokl mesmechokl 
mesmengt mesmengt 
mesngerekl mesngerekl 
mesokl mesokl 
mesubech mesubech 
mesubed mesubed 
mesuch mesuch 
mesuched mesuched
mesuk mesuk 
mesuld mesuld 
mesumech mesumech 
mesumk mesumk 
mesurech mesurech 
oker meker 
oldak modak 
oldanges modanges 
oldars modars 
oldechelakl modechelakl 
oldekedek modekedek 
oldengelengel modengelengel 
oldermerem modermerem 
oldeu modeu 
oldiderekl modiderekl 
oldik modik 
oldingel modingel 
oldirekorek modirekorek 
oldiu modiu 
oldiuls modiuls 
oldob modob 
oldoseb modoseb 
oldubech modubech 
olduleb moduleb 
oldum modum 
oldurech modurech 
oldurokl modurokl 
olechau mochau 
olecheuekl mocheuekl 
olechib mochib 
olechiis mochiis 
olechit mochit 
olechob mochob 
olechoid mochoid 
olecholt mocholt 
olechoud mochoud 
olechubel mochubel 
olekabes mokabes 
olekar mokar 
olekeed mokeed 
olekerd mokerd 
olekes mokes 
olekesebakl mokesebakl 
olekiid mokiid 
olekiis mokiis 
olenganged monganged 
olenganget monganget 
olengaok mongaok 
olengasech mongasech 
olengchongch mongchongch 
olengebeet mongebeet
olengesenges mongesenges 
olengeseu mongeseu 
olengibes mongibes 
olengill mongill 
olengit mongit 
olengoid mongoid 
oliisech moisech 
oliit moiit 
oliuid moiuid 
oliuul moiuul
olsarech mosarech 
olsechesech mosechesech 
olsengerenger mosengerenger 
olsirs mosirs 
olsisechakl mosisechakl 
olsiu mosiu 
olsiuekl mosiuekl 
olskosk moskosk 
olsobel mosobel 
olsongeb mosongeb 
oltak motak 
oltamet motamet 
oltechelbakl motechelbakl 
olterebek moterebek 
olterekokl moterekokl 
olteremed moteremed 
oltilech motilech 
oltngakl motngakl 
oltobed motobed 
oltom motom 
oltorech motorech 
oltour motour 
oltuil motuil 
oltutakl motutakl 
oltuu motuu 
oltuub motuub
omadel obadel 
omalech obalech 
omar obar 
omarech obarech 
omat mouat 
omchadu mochadu 
omchaet mochaet 
omchebecheb mochebecheb 
omcheled mucheled
omdai mudai 
omdalem mudalem 
omdasu mudasu 
omdid mudid 
omdidm mudidm 
omdor mudor 
omech obech ? mouech 
omechar mochar 
omechederiib mochederiib 
omechem mochem 
omecheoch mocheoch 
omechit obechit 
omechobech obechobech 
omechull mochull 
omechur mochur 
omed obed 
omedaoch obedaoch ? mudaoch 
omedechakl obedechakl 
omekang mokang
omekbeches mukbeches 
omekbeot mukbeot 
omekbuch mukbuch 
omekdakt mukdakt 
omekdengchokl mukdengchokl 
omekdereborb mukdereborb 
omekdid mudid
omekdinges mukdinges 
omekdirt mukdirt 
omekdubech mukdubech 
omekebek obekebek 
omekedechor mukedechor 
omekedelad mukedelad 
omekedong mokedong 
omekedurs mokedurs 
omekeek mokeek
omekerall obekerall 
omekesangch obekesangch 
omekesbas mukesbas 
omekesiu mokesiu 
omekiai mukiai 
omeklatk muklatk 
omeklemalt muklemalt 
omekllomes mukllomes 
omeklusech muklusech 
omekmad mukmad 
omekngiis mukngiis 
omekoad mokoad 
omekrael mukrael 
omekramek mukramek 
omekrames mukrames 
omekrur mukrur 
omeksau muksau 
omeksebech mokesebech 
omekses mukses 
omelebel obelebel 
omeob obeob 
omereked obereked 
omerius oberius 
omerrous oberrous 
omeseos moseos 
omet mouet 
ometuut motuut 
omides obides 
omidokl obidokl 
omiich obiich 
omiis obiis 
omikel obikel 
omitelek obitelek 
omitokl obitokl 
omkais obkais 
omkar mukar 
omkuuk obkuuk 
omodech obodech 
omoech oboech 
omor obor 
omouch obouch 
omrachem murachem 
omralm muralm 
omriked obriked 
omtaor motaor 
omtebechel mutebechel 
omtoched motoched 
omtut motut 
omuchel meuchel 
omuked meuked 
omur obur 
omurech oburech 
omus obus 
omuus obuus 
orrael morael 
orrebet morebet 
orrechorech morechorech 
orreek moreek 
orreked moreked 
orrenges morenges 
orresors morsors 
orrimel morimel 
orrirech morirech 
orros moros 
orrumk morumk
osiik mesiik 
ouedikel modikel 
ousekool musekool 
outekangel mutekangel 
tmut metut 
omekeroul mukeroul (mlokeroul v.erg.past)
ometech obetech ? meuetech 
